Title,Title_URL,Image,likes,comment,收藏,share
香附子 #中药材 #中草药 #识百草 #一日一植物 #香附子,https://www.douyin.com/video/7366142590967631154,https://p3-pc-sign.douyinpic.com/tos-cn-i-dy/6c47001ee01b464f8a32854b45549e41~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=c0DaFHqy3qOuTzdT4Ot5FPwrWp4%3D,34,6,14,2
姜黄 #中药材 #中草药 #识百草 #一日一植物 #姜黄,https://www.douyin.com/video/7365396148149882163,https://p3-pc-sign.douyinpic.com/tos-cn-i-dy/b0b835bc6891431799399a9a2a9b9927~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=MCqv0B3Rd3C9b4phStWDyuaxz5E%3D,20,2,5,0
木贼草 #中药材 #中草药 #识百草 #一日一植物 #木贼,https://www.douyin.com/video/7364798107231489318,https://p3-pc-sign.douyinpic.com/tos-cn-i-dy/f56bf690911d422ea828922399a0c8e7~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=xRd26iuqpkVCDWjd7TMbkAj7M1A%3D,30,3,6,2
荆三棱 #中药材 #中草药 #识百草 #一日一植物 #奇花异草,https://www.douyin.com/video/7364436735473831178,https://p3-pc-sign.douyinpic.com/tos-cn-i-dy/777e3f25a52c48dbbc1626dcbc3f4d05~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=Qz6ZSi0%2FRDQPOYxoziS%2BvEXD%2Bsc%3D,21,4,3,0
徐长卿 #中药材 #中草药 #识百草 #一日一植物 #徐长卿,https://www.douyin.com/video/7363953040891694386,https://p3-pc-sign.douyinpic.com/tos-cn-i-dy/147fc5258f0e4ee4b7abbb7cdee2f4dd~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=NYeqtRXQTCCjoijB1jtTjlB2e9c%3D,18,4,6,0
黄柏 #中草药 #中药材 #一日一植物 #奇花异草 #黄柏,https://www.douyin.com/video/7362458168359652617,https://p3-pc-sign.douyinpic.com/tos-cn-i-dy/d2d6bf84899443058f0562093f9a98ef~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=E5FR1D5ulMbcSMiuRkcm8PiVFmY%3D,32,2,9,0
益智仁 #中药材 #中草药 #识百草 #一日一植物 #益智仁,https://www.douyin.com/video/7361722433096764681,https://p3-pc-sign.douyinpic.com/tos-cn-i-dy/e18b37b058714283a22c84067cabacfe~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=pP7bhvtzSlxmD2MS7aSp6msZjkE%3D,25,2,9,0
小蓟 #中药材 #中草药 #识百草 #奇花异草 #一日一植物,https://www.douyin.com/video/7360349025809272127,https://p3-pc-sign.douyinpic.com/tos-cn-i-dy/9805ace7bafc4fc1b36837b96dd6ea5d~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=N%2BE7Tobfo45XEllVT7Os%2BJ9K0lk%3D,25,6,10,0
龙胆草 叶如龙葵，味苦如胆，因以为名。 #中药材 #中草药 #识百草 #一日一植物 #龙胆,https://www.douyin.com/video/7359457193155939596,https://p3-pc-sign.douyinpic.com/tos-cn-i-dy/903cee9a6cef4cecb4492f6a9ae68f2a~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=FJl%2FxdQ%2B1mYqPa2UvbMYSB4QEl4%3D,25,4,9,0
黑桑葚 #中草药 #中药材 #识百草 #一日一植物 #黑桑葚,https://www.douyin.com/video/7358654585399004427,https://p3-pc-sign.douyinpic.com/tos-cn-i-dy/8400c8970ba9423f9a5eae704a45233f~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=cXChtZVZd7Jr9QCwazb7HqIvT9s%3D,20,3,7,1
