账号名,关注,粉丝,获赞,抖音号,IP属地,年龄,地址,院校,个性签名,作品数,账号特征
胖达视界,53,479000,13811269,lu.movie,浙江,28.0,浙江·杭州,杭州师范大学,种花家千年文化的不正经嘴替 化作春泥更护花 欢迎关注，你想要.要的都在橱窗哦～,452,
黑苹果视界,39,221000,5551258,FD2628556140,四川,28.0,四川·广安,中国传媒大学,科普知识、干货、非遗纪录片【持续更新 每天刷新一下脑洞～感谢关注! 你喜欢的都在橱窗～,204,
本草中国,4,374000,1191800,80224427063,,30.0,,,"中国人千百年来的经验与智慧
伴随着中药，走过历史的漫漫长河
成为世代守护华夏民族繁衍生息的秘方，从本草看中国",142,
小禾药坊,140,72000,196058,xiaohe5.1,广东·广州,26.0,,,原创中药动画片 禁止搬运 TV端和手机APP端已经上线 搜索：中药趣味 商务合作请联系 动画制作培训请联系,98,
乌蒙本草。（山货代购）,1636,54000,190207,30748942340,贵州,,,,"一个热爱野生中草药的大叔
从江汉平原来到云贵深山
被这里的气候动植物所吸引
痴迷探索 不愿离开。",372,店铺账号
药材故事分享,117,13000,74988,1366131690,河南·郑州,,,,爱好花茶和药材，每天给大家分享一个有趣的药材传说典故，让大家每天都能在有趣的故事中认识一味中药。,125,
中草花,0,242000,161910,56722524209,广东,,,广东药科大学,心存善念，不忘初心 让您在日常生活中认识本草，了解本草，用好本草。内容仅供参考，请忽随意使用。,50,
百晓参,42,724000,6713274,baixiaoshen_,,,北京·朝阳,,"漫画识百草，在下百晓参～
剧情番 @百晓参之神眷
药材拟人立绘指路VX号「百晓参」",238,
嵩山草本说,13,471000,2899676,24626747215,河南,,河南·郑州,河南中医药大学,土生土长的嵩山大妞，曾在中医机构工作10余年。不忘初心，记录大山深处的神奇草木，分享中医药文化。@嵩山黄精姑娘,328,
NB8888NNNN,15,98000,360977,NB8888NNNN,云南,,云南·昭通,,,471,
中华本草堂（中医药）,821,36000,150092,1005917512,,,,江西中医药大学,华夏之都，药源之始，生命所系，中医文化，圆大国梦！ 健康与生活,575,
植物之美,43,1603000,7106028,baicaoxiaohu,广东,33.0,广东·清远,,科普植物，花草、树木、草药、蔬菜、瓜果等,519,
大盛先生,42,171000,764202,yinchenxians,山东,36.0,山东·临沂,中国农业大学,返乡青年，三代传承，分享炮制技艺，让传统回归本真。,179,
东北深山采药人,15,5362,26377,94990501443,吉林,35.0,吉林·白山,上海中医药大学,"创建于1998年.是当地非常有名的特产批发店 产品覆盖到.,东北野生菌.野生黑木耳.人参.坚果.等行业",18,
本草圣药,6,35000,98556,26079339061,山东,26.0,山东·菏泽,中国农业大学,"每天分享本草药
希望对您有帮助
感谢每一份支持与关注
中草药知识 #中药材 #本草植物 #中草药
内容仅供参考，请勿随意使用！",290,
奇妙文化说,4,15000,66140,qimiaowenhua47,河南,,,,给您讲点小故事，咱们一起学习大智慧。文化可以很轻松很好玩。,348,河南广播电视台《奇妙文化说》栏目官方抖音账号
国学问道,120,3433000,169414,guoxuewendao,,,,,品国学文化 扬国货之光,422,河南广播电视台都市频道国学问道官方账号
超哥说动漫,68,194000,1300634,97690147928,浙江,26.0,浙江·嘉兴,清华大学,朋友！你好！定期分享经典励志的动画解说,212,原创音乐人
艾柚动漫,72,114000,1058159,81787544365,,,广东·广州,中央美术学院,感谢那么好看的你点赞和关注！,224,
百草老农,8,79000,376086,Suwei798,河南,,河南·郑州,中华女子学院,分享中药百草知识，花草，树木，草药，让更多人认识和了解中华中药材文化 内容仅供参考，请勿随意使用,171,
山里林里,14,13000,107923,68326198305,云南,,,,云南大山里的孩子，靠山吃山，靠水吃水，希望通过平台给各位分享一下，大山里的好东西，让每个角落的人都能认识它们。,78,
人物微纪实,7,744000,3958727,11kkxx,山东,29.0,,,关注少数 为了多数 请加粉丝群 中医教材免费领取,163,
识本草,1061,673000,1702890,huazhiyuan_1,云南,,云南·昆明,,生活不易要有笑容 中医爱好者 喜欢考证生长在我们身边的本草,234,
汉昆堂滋补甄选,27,21000,38138,wing_0310,安徽,,,,分享健康生活， 甄选精品好物。,35,
痴百草,7,239000,686755,82077583265,河南,52.0,北京·石景山,北京中医药大学,走过千山，行得万里 科普植物、花草、树木 感谢关注，带你识百草 内容仅供参考，请勿随意使用,107,
海龙讲百草,271,1744000,10992471,dyij8aetfw3h,山东,35.0,山东·临沂,,痴迷并热衷于大自然的各种植物的研究。 三年徒步6000多公里进行实地拍摄，足迹东至长白山，西至昆仑山，南至五指山，北至完达山。 欢迎大家交流！生活如意,204,三农自媒体
1000种中草植物,485,420000,2294353,langzi202298,陕西,,陕西·汉中,,草木皆可用、固本草木知 分享1000种中草、仅供识别…… 精选宝贝“点击下方商品橱窗”就可找哦,272,
鲁阳采药人,12,30000,115009,yao122472,河南,33.0,河南·平顶山,,一个来自豫西十八线小城的90后，发掘当地身边野生中草药。不定时直播采收、炮制药材，感谢大家关,161,
一方见地,11,8062000,62645441,YI.FANG.JIAN.DI,云南,,,,带你用植物重新观察世界。,489,科普自媒体
独山县蒙氏草堂,69,117000,397720,VXkkxx1314fc,贵州,,,,吾乃一介草夫，取之于山，用之于民！ 有志不在年高 无志空长百岁 山不在高有仙则名 水不在深有龙则灵,327,店铺账号
本草新说,10,848000,4530775,97617661349,辽宁,,辽宁·沈阳,,从城市到深山，从繁华到幽静 始终带着初心，寻找最天然的药材攀爬、寻药、采挖、炮制...乐在其中!只为把深山中的“趣闻”传递给你,442,
青山眼里,185,1388000,12826809,LP20210615,湖北,,,,橱窗都是自己亲自挑选高品质，保真。可与市场比质量，放心自助下单。,284,
生态农人合作社,418,1705000,9581430,shengtai806,,,广东,,生态农人合作社，视频科普植物为主，店铺主要分享大自然馈赠的野长食材和生态食材，欢迎共同携手，共筑食安永续生活 本人不收山货！谢谢！生活如意,893,店铺账号
神奇的草药,28,1500000,7228437,shenqidecaoy77,陕西,,陕西·商洛,,一个来自秦岭山区的孩子 从小跟着爷爷父亲上山寻找和识别中草 渐渐对咱们传统中医中草药产生兴趣… 分享本草植物知识，喜欢的朋友加个关注,413,三农自媒体
朱鸟寻药记,11,21000,56175,nanwuwei,上海,,,江西中医药大学,和我们一起走遍全世界，体会中药的“酸、苦、甘、辛、咸”。,27,
