Title,Title_URL,Image,Likes,likes,comment,collect,share
比黄金还要金贵的牛黄，竟然是牛的胆结石，堪称现代版的金丹 #非遗传承 #牛黄 #纪录片解说 #老手艺 #传统技艺,https://www.douyin.com/video/7371739384854449418,https://p3-pc-sign.douyinpic.com/tos-cn-i-dy/0d324013218a4ae69fbbab69fbf3d277~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032959600&x-signature=%2FNtXOvcQ65wnPifSFuxMK036HBU%3D,2421,2588,126,467,131
原来中医药丸是这样做成的，开局一粒药粉，药丸成长全靠四处勾搭 #非遗传承 #泛丸 #纪录片解说 #中药炮制 #老手艺,https://www.douyin.com/video/7371315311196310834,https://p3-pc-sign.douyinpic.com/tos-cn-i-dy/1cbf25c69b2a43f1ac9a8c09ffdbfe80~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032959600&x-signature=TEqOiB2xZPN3B3v99kb%2FJs2FeaM%3D,4944,5325,146,765,279
当面粉邂逅无花果，这是属于新疆人的碳水炸弹，没人拒绝得了 #烤馕 #纪录片解说 #美食 #传统技艺 ,https://www.douyin.com/video/7371005813219020083,https://p3-pc-sign.douyinpic.com/tos-cn-i-pk90l89vgd/1613c9c18cb24e5faf8f3cd258751365~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032959600&x-signature=eqJu6ckS2DCjmT4hv60xtSx%2B%2Bwc%3D,1618,1716,37,309,143
你有多久没有看过一场皮影了？这可能是现代电影的老祖宗 #非遗传承 #皮影戏 #纪录片解说 #老手艺 #传统技艺,https://www.douyin.com/video/7370308831638752566,https://p3-pc-sign.douyinpic.com/tos-cn-i-dy/16c1129b332f45f2b65fdd460a6b7926~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032959600&x-signature=2I26aQs%2B2TC63CECVJrO5Uhk3RI%3D,854,872,11,140,40
这是站在风口上的猪，不甘于碌碌无为的躺平，猪生巅峰却在餐桌上 #巴马香猪 #纪录片解说 #美食 #香猪 #动物的迷惑行为,https://www.douyin.com/video/7369828071622364428,https://p3-pc-sign.douyinpic.com/tos-cn-i-dy/6833636383634124897ebeb31da14f79~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032959600&x-signature=UnU8TLPszeu5zZn6OpINPyK2ups%3D,608,616,14,90,76
这是一门点石成花的艺术，男人苦练半生，才堪堪练成这门绝技 #非遗传承 #白花石刻 #纪录片解说 #传统技艺 ,https://www.douyin.com/video/7369506697783561511,https://p3-pc-sign.douyinpic.com/tos-cn-i-pk90l89vgd/c0843d64304a4ea390f86150fbe86860~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032959600&x-signature=0Ch9BL0XVUR6yGqqqUH1LFGjKlc%3D,1537,1593,22,282,80
老人当了60年的采珠人，十个贝壳才出一个珍珠，却是养颜圣品 #非遗传承 #珍珠 #纪录片解说 #传统技艺 ,https://www.douyin.com/video/7368406109457091876,https://p3-pc-sign.douyinpic.com/tos-cn-i-pk90l89vgd/9d429ca147de489798fe5cf34460ad1b~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032959600&x-signature=hur9vg9xnmvvU2ebTD%2BaSa8ADtQ%3D,718,721,9,118,33
一群老汉开着数十辆三蹦子，只为了给村里的老中医，搞一车霜桑叶 #非遗传承 #纪录片解说 #霜桑叶 #本草 ,https://www.douyin.com/video/7368027851775397132,https://p3-pc-sign.douyinpic.com/tos-cn-i-pk90l89vgd/15c0d6a6b9fd44cc92179e41504fb6c9~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032959600&x-signature=C51ZhqsAW91yvz%2FvfHoA%2FJii%2BQo%3D,8711,8902,171,1177,343
100朵藏红花，才能得到1克重的花丝，收购现场堪比抢人大战 #非遗传承 #藏红花 #纪录片解说 #一日一植物 ,https://www.douyin.com/video/7367655098039684402,https://p3-pc-sign.douyinpic.com/tos-cn-i-pk90l89vgd/a27c3752a9314019bc7a05c1842a48c9~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032959600&x-signature=yP6kUUJygJd6BsM063K0lcsUKlw%3D,7395,7407,205,1070,921
原来西湖藕粉竟是切出来的，没有过人的刀工，吃起来一嘴浆糊 #非遗传承 #西湖藕粉 #传统技艺 #纪录片解说 ,https://www.douyin.com/video/7367296856419814697,https://p3-pc-sign.douyinpic.com/tos-cn-i-pk90l89vgd/4baf93142a61427297f9e2f49fd1a479~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032959600&x-signature=Nw52AJ8PSbPAvqCbKdpRyw%2F3uUo%3D,1600,1674,76,311,155
