Title,Title_URL,Image,Likes,likes,comment,collect,share
老人将活生生的梅树一劈为二，只为完成一项极其病态的古老艺术 #传统手艺 #劈梅 #自然科普 #纪录片解说,https://www.douyin.com/video/7373629746770365707,https://p3-pc-sign.douyinpic.com/tos-cn-i-dy/354e5932ffce46bcae18480f5bf57246~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032959600&x-signature=SoQFq%2ByE8EPuSrGkz%2BWe696ekvk%3D,496,545,24,76,27
男人将绣花做到极致，作品还被当作国礼赠予外国元首 #非遗传承 #广绣 #手工 #纪录片解说,https://www.douyin.com/video/7372876636116552979,https://p3-pc-sign.douyinpic.com/tos-cn-i-dy/9e4953ebfcde444ba5ddb2b83504812b~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032959600&x-signature=u3rAV51VUIZITUX77GeXdGa9V4s%3D,8847,9700,374,970,610
用见血封喉树的树皮做衣服?是黎族延续千年的传统手艺 #非遗传承  #树皮衣 #黎族 #纪录片解说,https://www.douyin.com/video/7372515798159510838,https://p3-pc-sign.douyinpic.com/tos-cn-i-dy/85b31091affe4f43a055f03bb2eab26c~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032959600&x-signature=cFKExzzYTl18z2GeXcXiYKfBXmA%3D,619,709,21,82,39
古籍修复师将沉睡两千多年的竹简复活，揭开了未曾出现的论语篇章 #古籍修复 #考古 #竹简 #纪录片解说,https://www.douyin.com/video/7372153014963948839,https://p3-pc-sign.douyinpic.com/tos-cn-i-dy/dc69a5ed80ac4a8ba4e27d93ec01f987~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032959600&x-signature=7KNtH09pvxvxN7lcVcf9kK9lrHc%3D,2.6万,30000,1581,2979,2733
一般人干不了甚至门都进不去的职业“古籍修复师” #匠人匠心 #古籍修复师 #传统手艺 #纪录片解说,https://www.douyin.com/video/7371772925608840482,https://p3-pc-sign.douyinpic.com/tos-cn-i-dy/ce82164faee743ea8df38e3a938fec25~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032959600&x-signature=0bWvaRvXHvtOCpQTEEDF9%2FvrM%2Bg%3D,4928,5016,465,609,219
这段珍贵的影像，记录了老人最后一次制作羊皮筏的过程 #传统手艺 #羊皮筏 #纪录片解说 #珍贵影像,https://www.douyin.com/video/7371025795847818496,https://p3-pc-sign.douyinpic.com/tos-cn-i-dy/6b799c023b6846d9b0bc55ba70a45c3a~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032959600&x-signature=rGWp5UqwsrCnUYjCJEoBwcebCfQ%3D,1703,1785,69,296,163
几近失传的绞丝镯，制作过程真是太震撼了，犹如鬼斧神工 #非遗传承 #手镯 #手工艺 #纪录片解说,https://www.douyin.com/video/7369904058338938127,https://p3-pc-sign.douyinpic.com/tos-cn-i-dy/b2d923b87acf4a26afc6130a990c15c5~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032959600&x-signature=6Ng7mAiyf8VlyDeA9QsgZOW4jHc%3D,1399,1731,86,326,205
全村的老人开着三蹦子出动收集树叶，结果用途真是令人意想不到 #非遗传承 #中药炮制 #本草 #纪录片解说,https://www.douyin.com/video/7369158971585826085,https://p3-pc-sign.douyinpic.com/tos-cn-i-dy/52fc7e61926d412d9a32615c2c96aa3e~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032959600&x-signature=pfWTzzSrqtNtaykO4CNN4gvt240%3D,541,557,11,119,23
原来看似简单的一个水龙头制作过程居然这么复杂 #制作过程 #纪录片解说 #涨知识 #科普,https://www.douyin.com/video/7368782109344812339,https://p3-pc-sign.douyinpic.com/tos-cn-i-dy/7726a2bb5d1640ac91c4a5b21105cfb0~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032959600&x-signature=%2BlmDeoWzupHpEcPD2me4IM9QnxI%3D,2179,2192,29,518,192
以阳土、阴土古法炮制，历经200多道工序，才能得到这么一粒 #非遗传承 #古法炮制 #纪录片解说 #涨知识,https://www.douyin.com/video/7368422027268607259,https://p3-pc-sign.douyinpic.com/tos-cn-i-dy/6b1bc1c6cd3342b79032b3791a3bcf12~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032959600&x-signature=lV8vq3Z2Dp37zJc2BfZuSaWQ4jw%3D,1231,1331,88,284,123
